Lab #,#/flatsat,Part Number,Description, Cost/ea ,V(in),Comments,Link
1 solar,1,MKR 1000,Microcontroller,46.00,5V,Main C&DH for FlatSat -- buy w/ headers!,https://store-usa.arduino.cc/products/arduino-mkr1000-wifi-with-headers-mounted
0 solar,1,AMX3d AMX,Solar Cells (4-pack),12.56,5V/30 mA,Price is for four cells,"Amazon.com : AMX3d AMX Solar 5V 30mA 53X30mm Micro Mini Power Solar Cells for Solar Panels with Wires- DIY Projects - Toys - Solar Charge 3.6v Batteries 4 Pcs : Patio, Lawn & Garden"
0 solar,1,PCB board,Protoboard (4-pack),12.99,--,Backing for solar panel,Amazon.com: LYM Double Sided Protoboard Prototyping Pcb Board 4PCS (9X15CM) : Industrial & Scientific
1 solar,1,181,lcd,9.95,,Standard LCD 16x2 + extras,https://www.adafruit.com/product/181
1 solar,1,,potentiometer,,,,
1 solar,1,112990066,microsd card,7.00,,32GB MicroSD card,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/112990066/10290294
1 solar,1,904,current sensor,9.95,,INA219 High Side DC Current Sensor Breakout,https://www.adafruit.com/product/904
1 solar,3,,18650 battery,4.50,,epoch 18650 2.6Ah protected battery,https://www.18650batterystore.com/collections/18650-batteries/products/epoch-18650-2600mah-8a-protected-button-top-battery
1 solar,1,106990288,3S battery holder,0.60,,3-cell 18650 battery holder,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/106990288/10451902
1 solar,0.5,MC6C,li-ion charger,17.99,,6 bay li-ion battery charger,https://www.18650batterystore.com/collections/18650-battery-charger/products/xtar-mc6c
1 solar,1,LS118-P,debounce IC,3.32,,LogiSwitch 3-chan debounce chip with handshake,https://www.digikey.com/en/products/detail/logiswitch/LS118-P/13540813
1 solar,1,1385,5V BEC power supply,7.98,,UBEC DC/DC Step-Down (Buck) Converter - 5V @ 3A output,https://www.adafruit.com/product/1385
0 solar,1,TW-E41-102B,breadboard,15.99,,solderless breadboard assembly,https://www.digikey.com/en/products/detail/twin-industries/TW-E41-102B/643113
1 solar,0.2,222-413/K194-4045,Wago splice,21.83,,(box of 50) terminal butt splice,https://www.digikey.com/en/products/detail/wago-corporation/222-413-K194-4045/13549312
0 solar,1,TW-E012-000,jumper wire kit,6.99,,140 pieces,https://www.digikey.com/en/products/detail/twin-industries/TW-E012-000/643115
1 solar,0.1,1119,button,2.50,,Tactile Switch Buttons  x 10 pack,https://www.adafruit.com/product/1119
0 solar,1,SEN-14544,current sensor,17.50,,SparkFun Current Sensor Breakout - ACS723 (Low Current,https://www.sparkfun.com/products/14544
